area,session,object,event,obs_auc_pre,obs_auc_post,obs_delta_auc,p_pre,p_post,p_delta,n_shuffle,pre_bin_start,pre_bin_stop_exclusive,post_bin_start,post_bin_stop_exclusive,null_pre_mean,null_pre_ci95_low,null_pre_ci95_high,null_post_mean,null_post_ci95_low,null_post_ci95_high,null_delta_mean,null_delta_ci95_low,null_delta_ci95_high
AIP,MonkeyA_Session01,Object1,Event1,0.4033333333333332,0.4783333333333333,0.075,0.7712287712287712,0.5584415584415584,0.3306693306693307,1000,0,10,10,50,0.5068666666666667,0.24,0.7933333333333334,0.49395,0.2265833333333333,0.7534166666666666,-0.0129166666666666,-0.4135833333333333,0.3434583333333331
AIP,MonkeyA_Session01,Object1,Event3,0.52,0.2866666666666666,-0.2333333333333334,0.4215784215784215,0.934065934065934,0.8891108891108891,1000,0,40,40,70,0.4924766666666667,0.22,0.7783749999999999,0.495345,0.231625,0.7467499999999999,0.0028683333333333,-0.3683333333333332,0.3867083333333334
AIP,MonkeyA_Session01,Object2,Event1,0.615,0.6183333333333333,0.0033333333333332,0.1938061938061938,0.2037962037962038,0.4825174825174825,1000,0,10,10,50,0.5014933333333333,0.25,0.7733749999999999,0.4994033333333333,0.2366666666666667,0.7783333333333333,-0.0020899999999999,-0.39,0.3517083333333334
AIP,MonkeyA_Session01,Object2,Event3,0.8483333333333333,0.5933333333333334,-0.2549999999999999,0.0039960039960039,0.2487512487512487,0.8991008991008991,1000,0,40,40,70,0.4968849999999999,0.2549583333333333,0.7667083333333332,0.4917866666666666,0.2282916666666667,0.7584166666666666,-0.0050983333333333,-0.3999999999999998,0.378375
AIP,MonkeyA_Session01,Object3,Event1,0.4033333333333334,0.6366666666666666,0.2333333333333332,0.7452547452547452,0.1798201798201798,0.1098901098901098,1000,0,10,10,50,0.5021333333333334,0.2499166666666666,0.7933333333333333,0.4996683333333332,0.22325,0.7816666666666666,-0.0024649999999999,-0.373375,0.4151249999999998
AIP,MonkeyA_Session01,Object3,Event3,0.3333333333333332,0.3366666666666666,0.0033333333333334,0.8681318681318682,0.8871128871128872,0.4795204795204795,1000,0,40,40,70,0.5018400000000001,0.2233333333333333,0.8,0.5008050000000001,0.2282916666666667,0.7567499999999999,-0.001035,-0.3583333333333334,0.3466666666666666
AIP,MonkeyA_Session02,Object1,Event1,0.5933333333333334,0.3283333333333333,-0.265,0.2617382617382617,0.8821178821178821,0.922077922077922,1000,0,10,10,50,0.5056616666666667,0.2516666666666667,0.7550416666666666,0.4970616666666667,0.2165,0.775,-0.0085999999999999,-0.37725,0.373458333333333
AIP,MonkeyA_Session02,Object1,Event3,0.4033333333333332,0.8933333333333333,0.49,0.7782217782217782,0.0009990009990009,0.0019980019980019,1000,0,40,40,70,0.5046216666666666,0.2615833333333333,0.758375,0.49223,0.2233333333333333,0.7467083333333333,-0.0123916666666666,-0.3483750000000001,0.313375
AIP,MonkeyA_Session02,Object2,Event1,0.5716666666666667,0.6683333333333334,0.0966666666666667,0.2857142857142857,0.1058941058941058,0.3126873126873127,1000,0,10,10,50,0.4947966666666666,0.2399583333333333,0.7400416666666667,0.4989733333333334,0.24,0.7550416666666666,0.0041766666666666,-0.325,0.3284583333333332
AIP,MonkeyA_Session02,Object2,Event3,0.36833333333333335,0.9733333333333334,0.605,0.810379241516966,0.001996007984031936,0.001996007984031936,500,0,40,40,70,0.4887166666666667,0.23158333333333334,0.7525416666666667,0.47648666666666667,0.22316666666666668,0.7225416666666666,-0.012229999999999996,-0.33929166666666666,0.3285833333333331
AIP,MonkeyA_Session02,Object3,Event1,0.6466666666666667,0.4033333333333334,-0.24333333333333335,0.1596806387225549,0.7704590818363274,0.9421157684630739,500,0,10,10,50,0.5039233333333333,0.24070833333333333,0.7792083333333333,0.5089533333333334,0.2499166666666667,0.7677916666666664,0.0050300000000000015,-0.28,0.27754166666666646
AIP,MonkeyA_Session02,Object3,Event3,0.615,0.7266666666666666,0.11166666666666658,0.2055888223552894,0.05189620758483034,0.30538922155688625,500,0,40,40,70,0.49245333333333324,0.21991666666666668,0.7904999999999994,0.5032333333333333,0.26079166666666664,0.7742916666666666,0.01078,-0.33095833333333335,0.3492083333333333
AIP,MonkeyB_Session01,Object1,Event1,0.6483333333333333,0.31000000000000005,-0.33833333333333326,0.1536926147704591,0.8982035928143712,0.9500998003992016,500,0,10,10,50,0.50063,0.26,0.7610416666666665,0.4983666666666667,0.24245833333333333,0.7792083333333333,-0.002263333333333331,-0.3750833333333333,0.375875
AIP,MonkeyB_Session01,Object1,Event3,0.43,0.7766666666666667,0.34666666666666673,0.7025948103792415,0.021956087824351298,0.033932135728542916,500,0,40,40,70,0.5058733333333333,0.23475,0.7901666666666665,0.49965000000000004,0.2315,0.7667499999999999,-0.006223333333333329,-0.3927916666666666,0.36666666666666664
AIP,MonkeyB_Session01,Object2,Event1,0.43,0.245,-0.185,0.6946107784431138,0.9780439121756487,0.8383233532934131,500,0,10,10,50,0.49844000000000005,0.2240416666666667,0.7700833333333332,0.50899,0.25991666666666663,0.7842916666666665,0.010550000000000007,-0.35762499999999997,0.4142916666666665
AIP,MonkeyB_Session01,Object2,Event3,0.6916666666666668,0.94,0.24833333333333318,0.07784431137724551,0.001996007984031936,0.11776447105788423,500,0,40,40,70,0.5014433333333334,0.228875,0.7467499999999999,0.49038666666666664,0.21079166666666665,0.8044583333333329,-0.011056666666666671,-0.42016666666666674,0.3966666666666666
AIP,MonkeyB_Session01,Object3,Event1,0.29333333333333333,0.67,0.3766666666666667,0.9121756487025948,0.1317365269461078,0.02594810379241517,500,0,10,10,50,0.4980966666666667,0.234125,0.8051666666666665,0.48665,0.21975,0.7668333333333331,-0.011446666666666666,-0.38279166666666653,0.3642916666666666
AIP,MonkeyB_Session01,Object3,Event3,0.285,0.825,0.54,0.9341317365269461,0.003992015968063872,0.001996007984031936,500,0,40,40,70,0.48904999999999993,0.24333333333333332,0.735875,0.5012800000000001,0.23070833333333332,0.7633333333333333,0.012229999999999994,-0.3801666666666666,0.3821666666666663
AIP,MonkeyB_Session02,Object1,Event1,0.37499999999999994,0.56,0.1850000000000001,0.8163672654690619,0.3413173652694611,0.16966067864271456,500,0,10,10,50,0.5068866666666667,0.21079166666666665,0.7750833333333332,0.49047666666666667,0.20745833333333333,0.757625,-0.01641,-0.40920833333333345,0.38508333333333333
AIP,MonkeyB_Session02,Object1,Event3,0.6383333333333333,0.7316666666666666,0.09333333333333327,0.17964071856287425,0.033932135728542916,0.32335329341317365,500,0,40,40,70,0.49257000000000006,0.225,0.7650833333333332,0.49397,0.199125,0.7595416666666663,0.0013999999999999954,-0.36333333333333334,0.36595833333333316
AIP,MonkeyB_Session02,Object2,Event1,0.6583333333333333,0.4633333333333334,-0.19499999999999995,0.1497005988023952,0.6207584830339321,0.844311377245509,500,0,10,10,50,0.5035966666666667,0.21825,0.7542916666666665,0.5130633333333333,0.23395833333333338,0.7976249999999998,0.009466666666666661,-0.3459583333333333,0.3901666666666664
AIP,MonkeyB_Session02,Object2,Event3,0.66,0.8583333333333334,0.19833333333333336,0.1277445109780439,0.00998003992015968,0.1936127744510978,500,0,40,40,70,0.49604666666666664,0.21245833333333333,0.7992083333333333,0.5138333333333333,0.21833333333333332,0.8135833333333331,0.01778666666666667,-0.4111250000000001,0.4355833333333326
AIP,MonkeyB_Session02,Object3,Event1,0.7600000000000001,0.315,-0.4450000000000001,0.021956087824351298,0.8662674650698603,0.9920159680638723,500,0,10,10,50,0.49690999999999996,0.22579166666666667,0.7526249999999999,0.49411,0.19912500000000002,0.7750000000000001,-0.0027999999999999935,-0.39341666666666664,0.4216666666666667
AIP,MonkeyB_Session02,Object3,Event3,0.7583333333333333,0.8333333333333333,0.07499999999999996,0.041916167664670656,0.007984031936127744,0.3473053892215569,500,0,40,40,70,0.4967,0.20133333333333334,0.8050000000000002,0.49801999999999996,0.21570833333333336,0.7667499999999999,0.0013199999999999887,-0.3650833333333335,0.37366666666666637
F5,MonkeyB_Session01,Object1,Event1,0.44222222222222224,0.671111111111111,0.22888888888888875,0.7345309381237525,0.09780439121756487,0.07784431137724551,500,0,10,10,50,0.5147777777777778,0.2644444444444445,0.7389444444444444,0.5021733333333334,0.2622222222222222,0.7367222222222222,-0.012604444444444444,-0.3389444444444444,0.3345
