area,event,obs_auc_pre,obs_auc_post,obs_delta_auc,p_delta,p_post
AIP,Event1,0.5331944444444444,0.47472222222222227,-0.058472222222222224,0.5766931006451964,0.5447380297679699
AIP,Event3,0.5459722222222222,0.7312500000000001,0.18527777777777776,0.29958996426062295,0.18372180048826756
F5,Event1,0.5151851851851852,0.5166884531590414,0.0015032679738562144,0.5049117451371766,0.46820085319556964
F5,Event3,0.5551198257080611,0.769640522875817,0.21452069716775599,0.20656725764157957,0.1051230871590153
F6,Event1,0.5028418803418803,0.5863247863247864,0.08348290598290602,0.393930088540867,0.3289830595219817
F6,Event3,0.5622934472934473,0.7326068376068375,0.1703133903133903,0.2661855775628231,0.15461384922462765
