area,event,n_units,var_t_mean,var_t_ci95_low,var_t_ci95_high,var_d_mean,var_d_ci95_low,var_d_ci95_high,var_o_mean,var_o_ci95_low,var_o_ci95_high,var_dt_mean,var_dt_ci95_low,var_dt_ci95_high,var_ot_mean,var_ot_ci95_low,var_ot_ci95_high,var_do_mean,var_do_ci95_low,var_do_ci95_high,var_dot_mean,var_dot_ci95_low,var_dot_ci95_high
AIP,Event1,4,0.36127158622872524,0.2638980747095832,0.4586450977478673,0.004132730608685194,0.0037205276532684558,0.004391853453567648,0.006184702410041754,0.0029628006358492468,0.00940660418423426,0.12482361581674196,0.10317833829554365,0.14646889333794028,0.24354632569981516,0.21003739019728768,0.2770552612023426,0.010401269788786378,0.007400540803157569,0.014394730507246316,0.24963976944720434,0.2094982353553989,0.2988139748723685
AIP,Event3,4,0.19556075210948756,0.1695651504043114,0.23104652068041936,0.010659427049545124,0.005934565192214645,0.01669222879702483,0.012295942157312325,0.005953279143234846,0.021830790430725396,0.17076787799227824,0.16776388175438378,0.1737718742301727,0.29638145694519624,0.28098392726625065,0.31640808997796277,0.015749720247422203,0.00909317870446817,0.022979506497283662,0.29858482349875837,0.28126768171993555,0.31274074080564956
F5,Event1,17,0.2758530086256876,0.22660740835014376,0.33459562125277487,0.007206377308793918,0.005055361862165985,0.009582679332665465,0.011601554098159989,0.00708409982106118,0.018512310726090123,0.13895947146813845,0.1278185311145926,0.14931199217703126,0.2781008256722545,0.25372057490201416,0.29897711091764234,0.015459019392070924,0.00961750234541512,0.02283284884576363,0.2728197434348947,0.24799950575926502,0.2938508492885214
F5,Event3,17,0.26823952227832115,0.2243281551236051,0.317608042667202,0.038948706309276826,0.02139402034531779,0.059011547687758605,0.010056634464152208,0.00656287979529715,0.01522873168005332,0.1799255964567316,0.16335781741493252,0.19572234150955914,0.2518777390776502,0.226744501252301,0.27549024096184804,0.011522247350306424,0.007271903998733785,0.017308433749797042,0.23942955406356164,0.21712856057341196,0.26074154447429376
F6,Event1,13,0.325089252965551,0.2502138588060894,0.4112923477887739,0.007529445619815823,0.004168582237356382,0.011351829998284498,0.008726772838055138,0.0062693299130241005,0.012022511056026048,0.12956626957423029,0.1120768563997805,0.1439283416860228,0.2558636454415256,0.21610963484526483,0.2947362442814531,0.010638463217644485,0.007748377356918202,0.013542407186040155,0.26258615034317767,0.23011873470563154,0.2949383873787209
F6,Event3,13,0.24825792457875442,0.19796362343722565,0.3099964246460073,0.02319720591538893,0.011914392899286346,0.03949753927590417,0.006734046290492624,0.005422645723765184,0.008036793418676146,0.15367885506921006,0.13812816287323157,0.166750633224224,0.2796676070342673,0.252976117865755,0.3023558039651639,0.006695161707910819,0.005139590569695041,0.008255788875758225,0.28176919940397593,0.2581099693386113,0.3030736659219655
