area,session,object,auc_within_Event1,auc_within_Event3,auc_Event1_to_Event3,auc_Event3_to_Event1,auc_within_Event1_std,auc_within_Event3_std,auc_Event1_to_Event3_std,auc_Event3_to_Event1_std,p_Event1_to_Event3,p_Event3_to_Event1,n_perm,n_trials_go_shared,n_trials_nogo_shared,truncated_to_shared_min,gti,normalized_transfer,n_folds_run
AIP,MonkeyA_Session01,Object1,0.35333333333333333,0.3216666666666667,0.44333333333333336,0.37833333333333335,0.20794862438950523,0.2082550873469738,0.29711385694869513,0.28182370939046836,0.6616915422885572,0.8756218905472637,200,12,12,0,-0.08916666666666662,-401570966773869.0,50
AIP,MonkeyA_Session01,Object2,0.6316666666666666,0.865,0.6983333333333333,0.51,0.2469140605311529,0.16226325856263665,0.2618452313296311,0.3219308245296075,0.04975124378109453,0.5223880597014925,200,12,12,0,0.10416666666666663,0.41946308724832204,50
AIP,MonkeyA_Session01,Object3,0.5750000000000001,0.3516666666666666,0.41333333333333333,0.31000000000000005,0.23824400114511313,0.21905408893136652,0.2688262890718561,0.3247360693536045,0.8109452736318408,0.9850746268656716,200,12,12,0,-0.1383333333333333,-622997948452918.5,50
AIP,MonkeyA_Session02,Object1,0.2916666666666667,0.885,0.47666666666666674,0.5416666666666666,0.2668632353745225,0.17077421409436053,0.33036089658957046,0.29318119895297023,0.572139303482587,0.31840796019900497,200,12,12,0,0.009166666666666656,0.10377358490566022,50
AIP,MonkeyA_Session02,Object2,0.6416666666666666,0.835,0.4816666666666667,0.5266666666666667,0.263657554647025,0.2030730462949706,0.28286776475166076,0.31109491373449666,0.5472636815920398,0.3582089552238806,200,12,12,0,0.004166666666666652,0.017482517482517425,50
AIP,MonkeyA_Session02,Object3,0.29666666666666663,0.7666666666666667,0.5366666666666667,0.6216666666666667,0.29650266811539233,0.26884737596752895,0.2657509788626185,0.26737257757312216,0.34328358208955223,0.12437810945273632,200,12,12,0,0.07916666666666672,2.4999999999999964,50
AIP,MonkeyB_Session01,Object1,0.49333333333333335,0.4883333333333333,0.4733333333333334,0.42499999999999993,0.25075848658441113,0.28322827183784804,0.2893812305569237,0.3182158667767538,0.6716417910447762,0.8407960199004975,200,12,12,0,-0.05083333333333334,-228932981058000.25,50
AIP,MonkeyB_Session01,Object2,0.35666666666666663,0.8416666666666666,0.405,0.44999999999999996,0.23147951624260255,0.18152322240448696,0.3044501753933674,0.26884737596752895,0.8059701492537313,0.6766169154228856,200,12,12,0,-0.07250000000000001,-0.7310924369747903,50
AIP,MonkeyB_Session01,Object3,0.6166666666666667,0.6733333333333333,0.7,0.5950000000000001,0.29014422873699863,0.24962556994440296,0.26566563814787375,0.2542217237123064,0.029850746268656716,0.19402985074626866,200,12,12,0,0.14749999999999996,1.0172413793103445,50
AIP,MonkeyB_Session02,Object1,0.6066666666666667,0.7250000000000001,0.6983333333333335,0.535,0.2896749292324939,0.20841835000013803,0.28763737721474075,0.26303328294439837,0.029850746268656716,0.373134328358209,200,12,12,0,0.1166666666666667,0.7035175879396984,50
AIP,MonkeyB_Session02,Object2,0.5566666666666668,0.6616666666666667,0.7316666666666667,0.6533333333333333,0.2763546310199411,0.27116214994837656,0.23224356789786874,0.25992760199071585,0.029850746268656716,0.0845771144278607,200,12,12,0,0.1925,1.763358778625953,50
AIP,MonkeyB_Session02,Object3,0.5783333333333335,0.7866666666666667,0.39,0.4083333333333334,0.316501030795053,0.2123991023634687,0.35050983275386566,0.2303809819090908,0.845771144278607,0.835820895522388,200,12,12,0,-0.10083333333333333,-0.5525114155251138,50
F5,MonkeyB_Session01,Object1,0.4822222222222223,0.92,0.8155555555555557,0.5511111111111111,0.21485521031815036,0.1384505554752795,0.2295942722638938,0.26174598361681,0.004975124378109453,0.22885572139303484,200,15,15,0,0.18333333333333335,0.9116022099447514,50
F5,MonkeyB_Session01,Object2,0.6244444444444445,0.84,0.7555555555555554,0.528888888888889,0.24165591500049013,0.1741118628673281,0.1904761904761905,0.2594254947024045,0.009950248756218905,0.34328358208955223,200,15,15,0,0.14222222222222225,0.6124401913875599,50
F5,MonkeyB_Session01,Object3,0.4466666666666667,0.9555555555555554,0.41999999999999993,0.47111111111111115,0.24640524644871148,0.09784784131696787,0.26397927799141496,0.30247155248133445,0.8258706467661692,0.6318407960199005,200,15,15,0,-0.05444444444444446,-0.2707182320441991,50
F5,MonkeyB_Session02,Object1,0.6177777777777778,0.8333333333333335,0.56,0.5133333333333334,0.2279975158219108,0.14932450573195855,0.26651545221352835,0.2748278739361513,0.263681592039801,0.44776119402985076,200,15,15,0,0.036666666666666736,0.16256157635468008,50
F5,MonkeyB_Session02,Object2,0.52,0.8044444444444444,0.78,0.6311111111111112,0.22497165354319462,0.17896429446927498,0.19243699744170542,0.21582632548296551,0.009950248756218905,0.0945273631840796,200,15,15,0,0.2055555555555556,1.2671232876712328,50
F5,MonkeyB_Session02,Object3,0.29333333333333333,0.9888888888888888,0.4177777777777778,0.4733333333333334,0.1871535600154457,0.033671751485073675,0.3257334689112549,0.21943834487346614,0.8159203980099502,0.5771144278606966,200,15,15,0,-0.054444444444444406,-0.3858267716535431,50
F5,MonkeyB_Session03,Object1,0.6577777777777779,0.38888888888888895,0.548888888888889,0.4688888888888889,0.24160377892622792,0.22587697572631282,0.24323551808639166,0.24207259936029135,0.3781094527363184,0.6268656716417911,200,15,15,0,0.008888888888888946,0.3809523809523819,50
F5,MonkeyB_Session03,Object2,0.6,0.5644444444444445,0.6600000000000001,0.5377777777777778,0.21647907455533105,0.24879654911614793,0.224938053116819,0.22931976264581844,0.05970149253731343,0.3681592039800995,200,15,15,0,0.09888888888888903,1.2027027027027049,50
F5,MonkeyB_Session03,Object3,0.3377777777777778,0.36666666666666664,0.44888888888888895,0.44222222222222224,0.18641166039242157,0.2023420441901899,0.26651545221352835,0.22050355801666688,0.7064676616915423,0.7014925373134329,200,15,15,0,-0.054444444444444406,-245195979712393.5,50
F5,MonkeyB_Session04,Object1,0.5533333333333335,0.6866666666666668,0.5133333333333334,0.5244444444444445,0.22164323667511177,0.21259177615914823,0.23099465058010293,0.27034500134658757,0.43283582089552236,0.40298507462686567,200,15,15,0,0.018888888888888955,0.15740740740740783,50
F5,MonkeyB_Session04,Object2,0.6222222222222222,0.6444444444444446,0.41111111111111115,0.4088888888888888,0.24384589675773358,0.20327378531532853,0.2367687919075603,0.23050329981804885,0.7412935323383084,0.7661691542288557,200,15,15,0,-0.09000000000000002,-0.6749999999999998,50
F5,MonkeyB_Session04,Object3,0.4466666666666667,0.6755555555555557,0.5666666666666668,0.5266666666666667,0.19243699744170542,0.22204074222280268,0.2903070025106648,0.22761041359728898,0.2935323383084577,0.39303482587064675,200,15,15,0,0.046666666666666745,0.7636363636363634,50
F5,MonkeyB_Session06,Object1,0.5977777777777779,0.9066666666666667,0.24444444444444446,0.3400000000000001,0.18359254677146555,0.11304440517311017,0.21057935176859682,0.21579130106078112,1.0,0.945273631840796,200,15,15,0,-0.20777777777777773,-0.823788546255506,50
F5,MonkeyB_Session06,Object2,0.2733333333333333,0.8377777777777778,0.6466666666666667,0.52,0.171266825517383,0.16978934082265495,0.2889499325005346,0.2050508604692717,0.07960199004975124,0.39303482587064675,200,15,15,0,0.08333333333333337,1.5,50
F5,MonkeyB_Session06,Object3,0.47333333333333344,0.7666666666666667,0.47555555555555556,0.6155555555555555,0.23630011109690402,0.17568209223157663,0.22564261135132524,0.2356594987368919,0.5024875621890548,0.07960199004975124,200,15,15,0,0.04555555555555557,0.37962962962962943,50
F5,MonkeyB_Session07,Object1,0.4355555555555556,0.9177777777777778,0.3244444444444444,0.4111111111111111,0.23950903001727003,0.12256188630156165,0.26354942959387,0.2291988742570421,0.9651741293532339,0.845771144278607,200,15,15,0,-0.13222222222222224,-0.7484276729559746,50
F5,MonkeyB_Session07,Object2,0.5444444444444445,0.8111111111111111,0.27111111111111114,0.30888888888888894,0.21087825802518131,0.17279000838950193,0.2189785950600703,0.20363291561903046,0.9950248756218906,0.9850746268656716,200,15,15,0,-0.20999999999999996,-1.1812499999999995,50
F5,MonkeyB_Session07,Object3,0.5822222222222222,0.6088888888888889,0.5866666666666668,0.6600000000000001,0.2284391151429336,0.2542062377037156,0.23760796699891085,0.22493805311681897,0.15422885572139303,0.03482587064676617,200,15,15,0,0.12333333333333352,1.2906976744186058,50
F5,MonkeyB_Session08,Object1,0.4711111111111112,0.5355555555555557,0.5266666666666666,0.5244444444444445,0.23388876770023953,0.24248856770448404,0.24876616669902987,0.25301408057360353,0.4427860696517413,0.417910447761194,200,15,15,0,0.025555555555555554,7.666666666666489,50
F5,MonkeyB_Session08,Object2,0.4622222222222222,0.6422222222222222,0.5044444444444446,0.5200000000000001,0.246272283850406,0.2346738300287826,0.20476805700121395,0.2534120894409537,0.5323383084577115,0.472636815920398,200,15,15,0,0.012222222222222356,0.23404255319149217,50
F5,MonkeyB_Session08,Object3,0.508888888888889,0.7133333333333332,0.6777777777777778,0.6133333333333334,0.2344590058991463,0.19709403070944345,0.21676984577377245,0.2167582224141151,0.029850746268656716,0.0845771144278607,200,15,15,0,0.14555555555555566,1.3100000000000016,50
F5,MonkeyB_Session10,Object1,0.5888888888888889,0.7177777777777777,0.46555555555555556,0.4977777777777779,0.23056887375133256,0.21261547778987677,0.21203699577841412,0.21176054779971262,0.5422885572139303,0.42786069651741293,200,15,14,0,-0.018333333333333313,-0.11956521739130423,50
F5,MonkeyB_Session10,Object2,0.3322222222222222,0.8311111111111111,0.7133333333333333,0.5655555555555556,0.2110245675337274,0.19600443225946834,0.22033209777092866,0.2617098842078065,0.029850746268656716,0.24378109452736318,200,15,13,0,0.13944444444444448,1.7074829931972795,50
F5,MonkeyB_Session10,Object3,0.5177777777777778,0.6200000000000001,0.5377777777777779,0.4711111111111112,0.23821161177169184,0.19191257352777835,0.2752584163421634,0.23603340057702993,0.27860696517412936,0.6019900497512438,200,15,15,0,0.004444444444444584,0.06451612903225999,50
F5,MonkeyB_Session11,Object1,0.7511111111111112,0.9288888888888889,0.8677777777777779,0.5833333333333334,0.18279485270614965,0.10166167912130739,0.13923539542399516,0.21362331482055194,0.004975124378109453,0.1791044776119403,200,15,14,0,0.22555555555555562,0.6633986928104576,50
