area,n_units,dist_exe_obs_mean_mean,dist_exe_obs_mean_ci95_low,dist_exe_obs_mean_ci95_high,dist_go_nogo_mean_mean,dist_go_nogo_mean_ci95_low,dist_go_nogo_mean_ci95_high,dist_go_nogo_centered_mean_mean,dist_go_nogo_centered_mean_ci95_low,dist_go_nogo_centered_mean_ci95_high,dec_obs_go_nogo_auc_full_mean,dec_obs_go_nogo_auc_full_ci95_low,dec_obs_go_nogo_auc_full_ci95_high,dec_obs_go_nogo_auc_pre_mean,dec_obs_go_nogo_auc_pre_ci95_low,dec_obs_go_nogo_auc_pre_ci95_high,dec_obs_go_nogo_auc_post_mean,dec_obs_go_nogo_auc_post_ci95_low,dec_obs_go_nogo_auc_post_ci95_high,dec_exe_obs_auc_full_mean,dec_exe_obs_auc_full_ci95_low,dec_exe_obs_auc_full_ci95_high,perm_obs_go_nogo_auc_p_mean,perm_obs_go_nogo_auc_p_ci95_low,perm_obs_go_nogo_auc_p_ci95_high,n_neurons_mean,n_neurons_ci95_low,n_neurons_ci95_high,wilcoxon_post_gt_pre_auc_p,sign_post_gt_pre_auc_p
AIP,24,1.5489607394552598,1.4147446631067588,1.6939276265632963,1.0509899598035428,1.0265161585756357,1.075633793308299,1.0693609281877288,1.044652552937219,1.0942279548891019,0.5955555555555555,0.5210399305555555,0.6684027777777778,0.5395833333333333,0.47770833333333335,0.6025034722222222,0.6029861111111111,0.5128454861111111,0.6912517361111111,0.9938194444444445,0.9866666666666667,0.9987499999999999,0.3499446290143964,0.22037652270210406,0.4874134828349943,21.5,14.083333333333334,29.416666666666668,0.17981314659118652,0.07579481601715088
F5,102,1.1212170445638097,1.0677077019642476,1.1747077790705227,0.7465427861404899,0.7196586283221412,0.7724513603118458,0.7578474969703034,0.7306069459198397,0.7841124986428972,0.6016285403050109,0.5679266067538127,0.6357140522875816,0.5351525054466231,0.5062290305010892,0.5638465413943355,0.6431644880174293,0.6059508442265795,0.6813898420479302,0.9357952069716776,0.9140876906318082,0.954118191721133,0.329717933685102,0.27287635984626407,0.3884128069832584,5.352941176470588,5.038970588235294,5.686274509803922,1.6072595776950924e-05,0.0019327917941691615
F6,78,1.24686677120353,1.1610511574537299,1.3364668709503387,0.893277496404019,0.8441118577636219,0.9410968214377837,0.9097536368019258,0.8600617933221721,0.9582971395901351,0.611417378917379,0.5765506588319088,0.645417824074074,0.5325676638176637,0.497636485042735,0.5666566061253561,0.659465811965812,0.6228448183760685,0.6954850427350427,0.9433796296296294,0.9227844551282052,0.9627606837606838,0.2957662492546213,0.24035054093193625,0.3545872731919244,11.76923076923077,9.41025641025641,14.308012820512817,7.608040683328085e-07,1.463155534965419e-05
