area,session,object,n_neurons,n_trials_exe,n_trials_obs,n_pcs_used,time_s,auc,centroid_distance
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.17948717948717952,1.0,4.423528439264263
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.23076923076923084,1.0,4.713722774482001
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.28205128205128194,1.0,4.545272432604389
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.33333333333333326,1.0,4.626838954239996
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.3846153846153846,1.0,4.730506258073036
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.4358974358974359,1.0,4.990250752294314
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.4871794871794872,1.0,5.016475144080228
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.5384615384615383,1.0,5.1268342186166755
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.5897435897435896,1.0,4.932872521554324
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.641025641025641,1.0,4.828736700377675
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.6923076923076923,1.0,4.253028101427313
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.7435897435897436,1.0,4.811713176551093
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.7948717948717947,0.9766666666666666,5.114619733201075
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.846153846153846,0.96,3.910609463068942
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.8974358974358974,1.0,4.2135695653975125
AIP,MonkeyA_Session02,Object2,55,12,12,8,0.9487179487179487,0.9866666666666666,3.580909032121915
AIP,MonkeyA_Session02,Object2,55,12,12,8,1.0,0.9933333333333334,3.2187826556060677
AIP,MonkeyA_Session02,Object3,55,12,12,8,-1.0,0.9866666666666666,4.389087849140003
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.9487179487179487,0.9033333333333334,3.465325210475878
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.8974358974358975,0.9866666666666666,4.1950984535873825
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.8461538461538461,1.0,4.475399457969579
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.7948717948717949,1.0,4.379414809577022
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.7435897435897436,0.9933333333333334,3.6588460663498754
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.6923076923076923,0.97,4.043883311827634
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.641025641025641,1.0,3.8868085408831137
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.5897435897435898,1.0,4.306907944623993
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.5384615384615385,1.0,4.1138691121670545
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.4871794871794872,1.0,3.2927529147311243
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.4358974358974359,0.9666666666666666,3.5649054118239647
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.3846153846153846,0.9266666666666665,2.7232965173761743
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.33333333333333337,1.0,3.4381884591658385
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.28205128205128205,0.98,2.9048251500939046
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.23076923076923084,0.9733333333333334,3.2404117162479436
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.17948717948717952,1.0,4.339084572732245
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.1282051282051282,1.0,3.996607093847869
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.07692307692307698,0.9933333333333334,3.835723527018054
AIP,MonkeyA_Session02,Object3,55,12,12,8,-0.02564102564102566,1.0,3.704956335953035
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.02564102564102555,1.0,3.9576425879045587
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.07692307692307687,1.0,3.9688391077943868
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.1282051282051282,0.9933333333333334,4.198119374664501
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.17948717948717952,1.0,4.596219135916462
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.23076923076923084,1.0,4.9261021190104035
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.28205128205128194,1.0,5.998891618600837
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.33333333333333326,1.0,5.8780317221533425
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.3846153846153846,1.0,6.386016929338705
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.4358974358974359,1.0,6.37487176815458
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.4871794871794872,1.0,5.592699482298162
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.5384615384615383,1.0,5.034149096877038
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.5897435897435896,1.0,5.561860191323144
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.641025641025641,1.0,4.967073441265743
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.6923076923076923,1.0,4.4884928156012815
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.7435897435897436,1.0,4.940282335296082
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.7948717948717947,1.0,4.631757855944409
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.846153846153846,1.0,3.891844680000638
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.8974358974358974,0.9666666666666666,3.8093623402422865
AIP,MonkeyA_Session02,Object3,55,12,12,8,0.9487179487179487,0.99,3.5415596891300205
AIP,MonkeyA_Session02,Object3,55,12,12,8,1.0,0.9866666666666667,3.2537546009742475
AIP,MonkeyA_Session01,Object1,13,12,12,8,-1.0,0.5983333333333333,0.9269268749492703
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.9487179487179487,0.8933333333333334,1.9850817171455772
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.8974358974358975,0.87,1.99713316343085
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.8461538461538461,0.9866666666666666,2.146100316686995
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.7948717948717949,0.8833333333333334,2.119075001447052
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.7435897435897436,0.9933333333333334,2.08907002692516
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.6923076923076923,0.89,2.0188837726854807
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.641025641025641,0.98,2.326797628709628
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.5897435897435898,0.9766666666666667,2.210520548523193
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.5384615384615385,0.8333333333333335,2.034800957967688
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.4871794871794872,0.8266666666666665,2.064390036557552
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.4358974358974359,0.92,2.136161660489622
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.3846153846153846,0.9933333333333334,1.9347246415041737
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.33333333333333337,1.0,2.060860848619754
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.28205128205128205,0.9866666666666666,2.358155223278813
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.23076923076923084,0.8233333333333333,1.8741837084406345
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.17948717948717952,0.98,2.608709792115366
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.1282051282051282,0.9433333333333335,2.252949819395137
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.07692307692307698,0.8583333333333334,1.874018937126604
AIP,MonkeyA_Session01,Object1,13,12,12,8,-0.02564102564102566,0.9933333333333334,3.206017117125943
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.02564102564102555,0.9866666666666666,3.175510037141952
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.07692307692307687,0.9266666666666665,3.208506006266524
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.1282051282051282,1.0,3.2628397408546004
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.17948717948717952,1.0,3.612500303304576
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.23076923076923084,0.9933333333333333,3.7778874116550756
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.28205128205128194,0.92,2.5968269559371495
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.33333333333333326,0.9133333333333334,2.8345711605164663
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.3846153846153846,0.9833333333333334,2.913846821538906
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.4358974358974359,0.9933333333333334,3.7030123889181965
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.4871794871794872,0.93,2.556899101661224
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.5384615384615383,0.96,2.539036676778065
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.5897435897435896,0.9466666666666665,2.660591961893245
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.641025641025641,0.8333333333333333,2.007355529842721
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.6923076923076923,0.92,2.0624339624225967
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.7435897435897436,0.7533333333333334,2.537861514074032
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.7948717948717947,1.0,2.9106934043442685
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.846153846153846,0.8333333333333333,2.6791496056108786
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.8974358974358974,0.9466666666666668,2.8552422658567247
AIP,MonkeyA_Session01,Object1,13,12,12,8,0.9487179487179487,0.91,2.5854946289362886
AIP,MonkeyA_Session01,Object1,13,12,12,8,1.0,0.7566666666666666,2.058817662937043
AIP,MonkeyA_Session01,Object3,13,12,12,8,-1.0,0.7333333333333333,1.9150073785503308
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.9487179487179487,0.7883333333333333,1.9977043803536887
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.8974358974358975,0.9016666666666666,2.0541694540731825
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.8461538461538461,0.8116666666666665,2.2974718332700244
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.7948717948717949,0.7933333333333334,2.039693041617696
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.7435897435897436,0.8533333333333334,2.1716365315066906
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.6923076923076923,0.89,2.163860857995939
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.641025641025641,0.86,2.206450750391584
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.5897435897435898,0.7033333333333335,1.5170073165716391
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.5384615384615385,0.9016666666666666,1.9781787693577833
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.4871794871794872,0.86,1.8003026747540911
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.4358974358974359,0.9933333333333334,2.114790186008346
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.3846153846153846,0.9933333333333334,2.3076134556805883
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.33333333333333337,0.99,1.8748876106414112
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.28205128205128205,0.8,1.9297521984675998
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.23076923076923084,0.89,1.8249776085158045
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.17948717948717952,0.97,2.6497294721343434
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.1282051282051282,0.93,2.271122675774342
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.07692307692307698,1.0,2.8201155000656875
AIP,MonkeyA_Session01,Object3,13,12,12,8,-0.02564102564102566,0.98,2.8536669544941056
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.02564102564102555,0.9833333333333334,3.1305159497190056
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.07692307692307687,0.9833333333333334,3.12261088425108
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.1282051282051282,0.9766666666666667,2.5616248269524386
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.17948717948717952,1.0,3.38098546211901
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.23076923076923084,0.9766666666666666,3.4095568289245666
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.28205128205128194,0.9566666666666666,2.743120721335392
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.33333333333333326,1.0,3.444894226075392
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.3846153846153846,1.0,3.65748552578693
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.4358974358974359,1.0,3.3886765310733615
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.4871794871794872,0.9633333333333333,3.148409296407605
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.5384615384615383,1.0,3.095275434173916
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.5897435897435896,0.8766666666666666,2.3892281059067013
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.641025641025641,0.9666666666666667,2.5692622091389588
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.6923076923076923,0.8633333333333333,2.1767729122181656
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.7435897435897436,0.8916666666666667,1.976907518625478
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.7948717948717947,0.9733333333333334,1.8012894484699462
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.846153846153846,0.9333333333333335,2.4606147871232573
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.8974358974358974,0.7866666666666666,1.6272739605522626
AIP,MonkeyA_Session01,Object3,13,12,12,8,0.9487179487179487,0.925,1.9694063772656236
AIP,MonkeyA_Session01,Object3,13,12,12,8,1.0,0.915,2.35269117541097
AIP,MonkeyA_Session01,Object2,13,12,12,8,-1.0,0.8933333333333334,2.364824789267953
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.9487179487179487,0.9266666666666667,2.807214175668201
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.8974358974358975,0.9766666666666667,2.508103705390351
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.8461538461538461,0.94,2.6114918881782803
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.7948717948717949,0.8766666666666667,2.4674820874214514
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.7435897435897436,0.9133333333333334,2.389729047264574
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.6923076923076923,0.8666666666666666,2.547885949331213
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.641025641025641,0.9966666666666667,2.875646857881834
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.5897435897435898,0.9266666666666665,2.486086664745389
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.5384615384615385,0.995,3.4743037907013012
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.4871794871794872,0.92,2.073772773018285
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.4358974358974359,0.9466666666666665,2.19794884915405
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.3846153846153846,0.9533333333333335,2.5882967202750224
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.33333333333333337,0.9666666666666666,2.2781161831516377
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.28205128205128205,0.9533333333333335,2.3662936517406075
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.23076923076923084,0.96,2.3876847376857313
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.17948717948717952,0.98,2.7693628371001253
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.1282051282051282,0.99,2.5974482562751464
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.07692307692307698,0.9433333333333332,3.2459170919712403
AIP,MonkeyA_Session01,Object2,13,12,12,8,-0.02564102564102566,1.0,2.798570949289161
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.02564102564102555,1.0,3.277344939293093
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.07692307692307687,0.9933333333333333,2.8904484124928085
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.1282051282051282,0.9533333333333333,3.5975647763183725
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.17948717948717952,0.9466666666666665,3.443223740811334
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.23076923076923084,1.0,3.412646125565553
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.28205128205128194,1.0,3.0532460060627735
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.33333333333333326,1.0,3.784017502280239
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.3846153846153846,1.0,2.73923495828218
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.4358974358974359,0.9933333333333334,3.334441421730949
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.4871794871794872,0.94,2.3887769418017406
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.5384615384615383,0.9866666666666667,3.0586855016171994
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.5897435897435896,0.96,3.3465681960933824
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.641025641025641,1.0,2.96252931648966
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.6923076923076923,0.9866666666666666,2.9900480192650196
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.7435897435897436,0.79,2.1902711303289055
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.7948717948717947,0.9466666666666665,3.2160709234506104
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.846153846153846,0.87,1.7609601197577007
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.8974358974358974,0.7766666666666666,2.5155228438946313
AIP,MonkeyA_Session01,Object2,13,12,12,8,0.9487179487179487,0.98,2.9056440862927615
AIP,MonkeyA_Session01,Object2,13,12,12,8,1.0,0.62,1.2724354825679578
AIP,MonkeyB_Session01,Object1,11,12,12,8,-1.0,0.6,1.3210811080944693
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.9487179487179487,0.87,1.597391491105295
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.8974358974358975,0.39,1.0823761671704202
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.8461538461538461,0.6366666666666666,1.5149152626568971
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.7948717948717949,0.8066666666666665,1.4278268309402002
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.7435897435897436,0.7433333333333334,1.5203278598963372
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.6923076923076923,0.5733333333333333,1.8097774240773168
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.641025641025641,0.7266666666666667,1.2867556625245904
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.5897435897435898,0.9366666666666665,1.8372413471446385
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.5384615384615385,0.8933333333333334,2.6285698190388462
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.4871794871794872,0.7633333333333333,1.578978124727013
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.4358974358974359,0.6833333333333332,1.2242629693547256
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.3846153846153846,0.9033333333333334,1.8328219863826953
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.33333333333333337,0.7733333333333334,1.7681939385999406
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.28205128205128205,0.6666666666666667,1.798438004766127
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.23076923076923084,0.7133333333333334,1.4096683194893598
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.17948717948717952,0.8,1.9704728133674323
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.1282051282051282,0.78,1.6086650029013145
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.07692307692307698,0.8616666666666666,1.774406647795682
AIP,MonkeyB_Session01,Object1,11,12,12,8,-0.02564102564102566,0.8166666666666665,1.668090594936209
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.02564102564102555,0.8033333333333335,1.9419274066481564
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.07692307692307687,0.7433333333333334,1.9940609278720658
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.1282051282051282,0.8733333333333333,2.2862278842379373
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.17948717948717952,0.9033333333333333,2.2951185101075833
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.23076923076923084,0.9666666666666666,2.7392166704311762
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.28205128205128194,0.9666666666666666,3.0087623268879327
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.33333333333333326,0.95,2.454563108432173
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.3846153846153846,0.8866666666666667,2.561905004315301
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.4358974358974359,0.98,2.612349987120953
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.4871794871794872,0.9333333333333335,1.9995900917547051
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.5384615384615383,0.9233333333333335,1.8986297984383629
AIP,MonkeyB_Session01,Object1,11,12,12,8,0.5897435897435896,0.7466666666666667,1.2748003266711447
