area,session,context,condition,n_objects,n_complete,n_total,n_neurons
F6,MonkeyB_Session05,Context2,Condition2,3,3,3,9
F6,MonkeyB_Session06,Context1,Condition1,3,3,3,6
F6,MonkeyB_Session06,Context2,Condition1,3,3,3,6
F6,MonkeyB_Session06,Context2,Condition2,3,3,3,6
F6,MonkeyB_Session07,Context1,Condition1,3,3,3,1
F6,MonkeyB_Session07,Context2,Condition1,3,3,3,1
F6,MonkeyB_Session07,Context2,Condition2,3,3,3,1
F6,MonkeyB_Session08,Context1,Condition1,3,3,3,2
F6,MonkeyB_Session08,Context2,Condition1,3,3,3,2
F6,MonkeyB_Session08,Context2,Condition2,3,3,3,2
F6,MonkeyB_Session09,Context1,Condition1,3,3,3,4
F6,MonkeyB_Session09,Context2,Condition1,3,3,3,4
F6,MonkeyB_Session09,Context2,Condition2,3,3,3,4
F6,MonkeyB_Session10,Context1,Condition1,3,3,3,34
F6,MonkeyB_Session10,Context2,Condition1,3,3,3,34
F6,MonkeyB_Session10,Context2,Condition2,3,3,3,34
F6,MonkeyC_Session01,Context1,Condition1,3,3,3,4
F6,MonkeyC_Session01,Context2,Condition1,3,3,3,4
F6,MonkeyC_Session01,Context2,Condition2,3,3,3,4
F6,MonkeyC_Session02,Context1,Condition1,3,3,3,8
F6,MonkeyC_Session02,Context2,Condition1,3,3,3,8
F6,MonkeyC_Session02,Context2,Condition2,3,3,3,8
F6,MonkeyC_Session03,Context1,Condition1,3,3,3,2
F6,MonkeyC_Session03,Context2,Condition1,3,3,3,2
F6,MonkeyC_Session03,Context2,Condition2,3,3,3,2
F6,MonkeyC_Session04,Context1,Condition1,3,3,3,2
F6,MonkeyC_Session04,Context2,Condition1,3,3,3,2
F6,MonkeyC_Session04,Context2,Condition2,3,3,3,2
F6,MonkeyC_Session05,Context1,Condition1,3,3,3,3
F6,MonkeyC_Session05,Context2,Condition1,3,3,3,3
F6,MonkeyC_Session05,Context2,Condition2,3,3,3,3
F6,MonkeyC_Session06,Context1,Condition1,3,3,3,3
F6,MonkeyC_Session06,Context2,Condition1,3,3,3,3
F6,MonkeyC_Session06,Context2,Condition2,3,3,3,3
F6,MonkeyC_Session07,Context1,Condition1,3,3,3,1
F6,MonkeyC_Session07,Context2,Condition1,3,3,3,1
F6,MonkeyC_Session07,Context2,Condition2,3,3,3,1
F6,MonkeyC_Session08,Context1,Condition1,3,3,3,9
F6,MonkeyC_Session08,Context2,Condition1,3,3,3,9
F6,MonkeyC_Session08,Context2,Condition2,3,3,3,9
F6,MonkeyC_Session09,Context1,Condition1,3,3,3,2
F6,MonkeyC_Session09,Context2,Condition1,3,3,3,2
F6,MonkeyC_Session09,Context2,Condition2,3,3,3,2
