area,subset,n_units,mean,ci95_low,ci95_high,boot_mean
AIP,high_N,12,0.7312500000000001,0.6077291666666667,0.84125,0.7299330555555554
F5,high_N,21,0.7616666666666666,0.7054636243386243,0.8151984126984125,0.761203201058201
F5,low_N,30,0.7752222222222221,0.7088796296296298,0.8328166666666666,0.7756127037037038
F6,high_N,27,0.7511111111111112,0.68748353909465,0.8119110082304526,0.7513254115226337
F6,low_N,12,0.6909722222222223,0.6053611111111112,0.7837557870370371,0.690871388888889
