metric,group,value,n,source
dpca_var_decision x time,"area=F6,event=Event1",0.129566,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_object x time,"area=F6,event=Event1",0.255864,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_decision x object,"area=F6,event=Event1",0.010638,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_decision x object x time,"area=F6,event=Event1",0.262586,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_time,"area=F6,event=Event3",0.248258,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_decision,"area=F6,event=Event3",0.023197,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_object,"area=F6,event=Event3",0.006734,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_decision x time,"area=F6,event=Event3",0.153679,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_object x time,"area=F6,event=Event3",0.279668,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_decision x object,"area=F6,event=Event3",0.006695,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_var_decision x object x time,"area=F6,event=Event3",0.281769,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_n_units_total,session x event,68.0,68,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_per_unit.csv
dpca_n_units_pkg_available,overall,0.0,68,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_per_unit.csv
dpca_n_units,"area=AIP,event=Event1",4.0,4,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_n_units,"area=AIP,event=Event3",4.0,4,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_n_units,"area=F5,event=Event1",17.0,17,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_n_units,"area=F5,event=Event3",17.0,17,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_n_units,"area=F6,event=Event1",13.0,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
dpca_n_units,"area=F6,event=Event3",13.0,13,go-nogo/reworked_results/final_analysis/09_dpca/dpca_variance_summary.csv
total_neurons,sum_over_sessions,355.0,48,go-nogo/inventory_neurons_by_session.csv
total_neurons,area=AIP,86.0,4,go-nogo/inventory_neurons_by_session.csv
total_neurons,area=F5,106.0,25,go-nogo/inventory_neurons_by_session.csv
total_neurons,area=F6,163.0,19,go-nogo/inventory_neurons_by_session.csv
