subset,n_units,median_n_neurons,min_n_neurons,max_n_neurons,mean,ci95_low,ci95_high,boot_mean
high_N,60,6.0,6,55,0.7508333333333334,0.7095150462962964,0.7904212962962964,0.7514273703703703
low_N,42,6.0,3,5,0.7511507936507936,0.6943468915343916,0.8039748677248677,0.7506618783068784
