area,session,object,event,interval_start,interval_stop,n_neurons,n_bins,n_trials_exe_go,n_trials_obs_go,n_trials_obs_nogo,n_pcs_raw,n_pcs_centered,dist_exe_obs_mean,dist_go_nogo_mean,dist_exe_nogo_mean,dist_go_nogo_centered_mean,vel_cos_exe_obs_mean,vel_cos_go_nogo_mean,angle_exe_obs_min,angle_go_nogo_min,angle_exe_nogo_min,dec_obs_go_nogo_acc_full,dec_obs_go_nogo_auc_full,dec_obs_go_nogo_acc_pre,dec_obs_go_nogo_auc_pre,dec_obs_go_nogo_acc_post,dec_obs_go_nogo_auc_post,dec_exe_obs_acc_full,dec_exe_obs_auc_full,perm_obs_go_nogo_auc,perm_obs_go_nogo_auc_p,perm_obs_go_nogo_acc,perm_obs_go_nogo_acc_p,boot_obs_go_nogo_auc_mean,boot_obs_go_nogo_auc_ci95_low,boot_obs_go_nogo_auc_ci95_high,boot_obs_go_nogo_acc_mean,boot_obs_go_nogo_acc_ci95_low,boot_obs_go_nogo_acc_ci95_high
F6,MonkeyC_Session05,Object1,Event3,-0.8,0.6,3,70,12,12,12,3,3,0.9500802102458564,0.5424898205313355,0.9475772586611012,0.5505840417200483,-0.1562900965099002,-0.0664616958853639,1.225864853670518e-17,1.2015202310993416e-16,7.141110513782434e-17,0.4539999999999999,0.4641666666666666,0.3939999999999999,0.3833333333333333,0.6150000000000001,0.5066666666666667,0.996,1.0,0.4641666666666666,0.6245847176079734,0.4539999999999999,0.6378737541528239,0.5875944444444444,0.2407708333333333,0.8441041666666664,0.5550866666666667,0.315425,0.7756749999999998
F6,MonkeyC_Session05,Object2,Event1,-0.2,0.8,3,50,12,12,12,3,3,0.7030630734709193,0.4981398039134737,0.6991275454705892,0.5062583741777705,-0.2054114455735821,0.1476610980145529,0.0,6.540010254895447e-17,6.993925470350835e-17,0.217,0.205,0.274,0.1758333333333333,0.3169999999999999,0.2633333333333333,0.7469999999999999,0.7333333333333333,0.205,0.9833887043189368,0.217,1.0,0.5031777777777777,0.2053125,0.7823541666666665,0.4976633333333332,0.27685,0.7368749999999995
F6,MonkeyC_Session05,Object2,Event3,-0.8,0.6,3,70,12,12,12,3,3,0.9095814289710512,0.588390452729266,0.9003524955492218,0.5962921014640598,-0.1176306335167489,-0.0808248312838632,1.1865253787285183e-16,4.899997028496709e-18,3.25404588319705e-17,0.5930000000000001,0.61,0.6110000000000002,0.6908333333333333,0.48,0.5016666666666666,1.0,1.0,0.61,0.2890365448504983,0.5930000000000001,0.1960132890365448,0.6893333333333334,0.3949166666666667,0.9292083333333334,0.6501033333333334,0.3924249999999999,0.8885999999999994
F6,MonkeyC_Session05,Object3,Event1,-0.2,0.8,3,50,12,12,12,3,3,0.6648208342447955,0.5337314301560262,0.6853930356699268,0.5428654117084311,-0.0282526901964253,0.1029192575582117,5.2657157773345785e-17,1.918695371723099e-17,1.6653345369377348e-16,0.5800000000000001,0.7066666666666667,0.451,0.4075000000000001,0.569,0.6533333333333334,0.76,0.8066666666666668,0.7066666666666667,0.0730897009966777,0.5800000000000001,0.1694352159468438,0.7194999999999999,0.4413333333333333,0.9242916666666664,0.66359,0.4537,0.8814999999999995
F6,MonkeyC_Session05,Object3,Event3,-0.8,0.6,3,70,12,12,12,3,3,0.8833815916928028,0.5319948756759957,0.9056293808398436,0.5420537286586471,0.029986300931119,0.007450959784187,3.001834199338456e-17,0.0,3.5333362994109466e-17,0.516,0.5491666666666667,0.423,0.4091666666666666,0.4369999999999999,0.455,1.0,1.0,0.5491666666666667,0.4252491694352159,0.516,0.4219269102990033,0.6806,0.313,0.9734583333333332,0.64229,0.3608,0.89905
F6,MonkeyC_Session06,Object1,Event1,-0.2,0.8,3,50,15,15,15,3,3,0.5745413335022479,0.5326497271739915,0.6829961741012965,0.546274690772307,0.1042884127240486,0.0497054007025274,8.305874370994257e-17,1.4089147795832288e-17,5.0250108257624857e-17,0.5233333333333333,0.5755555555555556,0.4966666666666667,0.53,0.4733333333333334,0.5000000000000001,0.6266666666666666,0.7577777777777777,0.5755555555555556,0.292358803986711,0.5233333333333333,0.3388704318936877,0.6574296296296296,0.3822222222222222,0.8667777777777776,0.5947555555555556,0.3831666666666666,0.780333333333333
F6,MonkeyC_Session06,Object1,Event3,-0.8,0.6,3,70,15,15,15,3,3,1.2199830332428636,0.4675488036324072,1.2740304356085017,0.4801974239193238,-0.1123650082171257,-0.0610475755384186,1.2305043794588007e-17,4.588147623363775e-17,7.917511250339196e-17,0.4833333333333333,0.4488888888888889,0.4700000000000001,0.4355555555555556,0.5733333333333333,0.6622222222222223,0.9766666666666668,1.0,0.4488888888888889,0.6411960132890365,0.4833333333333333,0.5415282392026578,0.5866296296296296,0.2566111111111112,0.814611111111111,0.5653444444444445,0.3366666666666666,0.7466666666666667
F6,MonkeyC_Session06,Object2,Event1,-0.2,0.8,3,50,15,15,15,3,3,0.6795358208208963,0.65169050973352,0.7548837937150137,0.6767954646338541,0.0653564216277793,-0.0080753838589261,4.8717020193440336e-17,6.774561532167941e-17,1.7936836482117321e-16,0.5366666666666666,0.6244444444444445,0.61,0.6133333333333334,0.5366666666666666,0.6511111111111112,0.7966666666666665,0.8644444444444445,0.6244444444444445,0.1794019933554817,0.5366666666666666,0.3687707641196013,0.6950666666666666,0.4363888888888889,0.8814999999999996,0.6170777777777778,0.4314166666666666,0.8150833333333334
F6,MonkeyC_Session06,Object2,Event3,-0.8,0.6,3,70,15,15,15,3,3,0.7661533949200959,0.4846422552630722,0.8453001781857913,0.4973771281681603,0.0955266027683494,0.0982480516775184,3.863803740419645e-17,0.0,1.4046432515192176e-17,0.4733333333333333,0.5000000000000001,0.4566666666666666,0.4177777777777778,0.61,0.6333333333333334,0.95,0.9844444444444446,0.5000000000000001,0.5415282392026578,0.4733333333333333,0.6578073089700996,0.5938851851851852,0.2810555555555556,0.8600000000000001,0.5711777777777778,0.3514166666666666,0.7984166666666667
F6,MonkeyC_Session06,Object3,Event1,-0.2,0.8,3,50,15,15,15,3,3,0.7147239579097215,0.5631936475084415,0.5679578236081939,0.5851688151189492,-0.1095198539890086,-0.0030549746583794,3.339789010580068e-17,4.314446732614801e-17,8.058704491682667e-18,0.5333333333333334,0.5688888888888889,0.3399999999999999,0.2977777777777778,0.55,0.58,0.76,0.8488888888888888,0.5688888888888889,0.3322259136212624,0.5333333333333334,0.3820598006644518,0.6311851851851852,0.3532222222222222,0.8769444444444442,0.5912444444444445,0.3963333333333333,0.8017499999999999
