area,event,n_units,dist_exe_obs_mean_mean,dist_exe_obs_mean_ci95_low,dist_exe_obs_mean_ci95_high,dist_go_nogo_mean_mean,dist_go_nogo_mean_ci95_low,dist_go_nogo_mean_ci95_high,dist_go_nogo_centered_mean_mean,dist_go_nogo_centered_mean_ci95_low,dist_go_nogo_centered_mean_ci95_high,dec_obs_go_nogo_auc_full_mean,dec_obs_go_nogo_auc_full_ci95_low,dec_obs_go_nogo_auc_full_ci95_high,dec_obs_go_nogo_auc_pre_mean,dec_obs_go_nogo_auc_pre_ci95_low,dec_obs_go_nogo_auc_pre_ci95_high,dec_obs_go_nogo_auc_post_mean,dec_obs_go_nogo_auc_post_ci95_low,dec_obs_go_nogo_auc_post_ci95_high,dec_exe_obs_auc_full_mean,dec_exe_obs_auc_full_ci95_low,dec_exe_obs_auc_full_ci95_high,perm_obs_go_nogo_auc_p_mean,perm_obs_go_nogo_auc_p_ci95_low,perm_obs_go_nogo_auc_p_ci95_high,n_neurons_mean,n_neurons_ci95_low,n_neurons_ci95_high,wilcoxon_post_gt_pre_auc_p,sign_post_gt_pre_auc_p
AIP,Event3,12,1.669959770120803,1.468471663206681,1.8810733864309783,1.032533878881425,0.9987341718799336,1.0683142972538795,1.0504732099813967,1.0152491743823668,1.086223016363809,0.6970833333333332,0.58721875,0.7883368055555556,0.5459722222222222,0.4451354166666667,0.6445902777777778,0.7312500000000001,0.6020833333333334,0.8391701388888889,0.9993055555555556,0.9979166666666668,1.0,0.198781838316722,0.0440130121816167,0.3975705980066444,21.5,11.1625,33.0,0.026123046875,0.019287109375
F5,Event3,51,1.254747385939889,1.1826857063580647,1.3305594413173032,0.7479292070686336,0.7116071918695637,0.7841187293390367,0.7604410204651874,0.7238146403498302,0.7974133578425728,0.686132897603486,0.6380277777777779,0.7341617647058821,0.5551198257080611,0.5167314814814814,0.5917004357298474,0.769640522875817,0.7242366557734206,0.813640522875817,0.9823529411764708,0.9721546840958606,0.991330065359477,0.2037000846850367,0.1340596703797798,0.2775112370529606,5.352941176470588,4.921568627450981,5.823529411764706,2.1986457964619688e-08,9.161814418234826e-09
F6,Event3,39,1.3960601217346038,1.2635661651462655,1.5338772728585617,0.8839235886651917,0.8147020503255857,0.9503486640255352,0.898412419492416,0.8284330807293162,0.9656467508716068,0.6573076923076923,0.6056020299145297,0.7059476495726494,0.5622934472934473,0.5191517094017094,0.6074431980056979,0.7326068376068375,0.6788600427350425,0.7827831196581196,0.988917378917379,0.9784188034188034,0.9970940170940172,0.2357952125393985,0.1623647670159297,0.3180956640258964,11.76923076923077,8.512820512820513,15.564102564102564,3.123695933027193e-07,7.14963061909657e-06
