area,n_sessions,auc_early,auc_late,dist_early,dist_late
AIP,12,0.8113888888888889,0.8259444444444445,2.39527295081779,2.329089585667727
F5,72,0.7196450617283949,0.8136543209876543,1.0786134812842574,1.6847241638908648
F6,51,0.7147015250544662,0.7269030501089325,1.5733325175414337,1.592088754513678
