area,event,n_units,dist_exe_obs_mean_mean,dist_exe_obs_mean_ci95_low,dist_exe_obs_mean_ci95_high,dist_go_nogo_mean_mean,dist_go_nogo_mean_ci95_low,dist_go_nogo_mean_ci95_high,dist_go_nogo_centered_mean_mean,dist_go_nogo_centered_mean_ci95_low,dist_go_nogo_centered_mean_ci95_high,dec_obs_go_nogo_auc_full_mean,dec_obs_go_nogo_auc_full_ci95_low,dec_obs_go_nogo_auc_full_ci95_high,dec_obs_go_nogo_auc_pre_mean,dec_obs_go_nogo_auc_pre_ci95_low,dec_obs_go_nogo_auc_pre_ci95_high,dec_obs_go_nogo_auc_post_mean,dec_obs_go_nogo_auc_post_ci95_low,dec_obs_go_nogo_auc_post_ci95_high,dec_exe_obs_auc_full_mean,dec_exe_obs_auc_full_ci95_low,dec_exe_obs_auc_full_ci95_high,perm_obs_go_nogo_auc_p_mean,perm_obs_go_nogo_auc_p_ci95_low,perm_obs_go_nogo_auc_p_ci95_high,n_neurons_mean,n_neurons_ci95_low,n_neurons_ci95_high,wilcoxon_post_gt_pre_auc_p,sign_post_gt_pre_auc_p
AIP,Event1,12,1.4279617087897165,1.2806629177098101,1.5937183604581435,1.069446040725661,1.0375323596047354,1.1001402415516084,1.0882486463940604,1.0560889179286561,1.1200270999596664,0.49402777777777773,0.4172187499999999,0.5655555555555556,0.5331944444444444,0.45484722222222224,0.6091770833333332,0.4747222222222222,0.3904131944444444,0.5575104166666667,0.9883333333333333,0.975138888888889,0.9980555555555556,0.5011074197120708,0.34024086378737534,0.6763565891472868,21.5,11.162500000000001,33.0,0.7880859375,0.61279296875
AIP,Event3,12,1.669959770120803,1.468471663206681,1.8810733864309785,1.0325338788814247,0.9987341718799335,1.0683142972538797,1.0504732099813967,1.0152491743823668,1.086223016363809,0.6970833333333332,0.58721875,0.7883368055555556,0.5459722222222222,0.4451354166666667,0.6445902777777778,0.7312500000000001,0.6020833333333334,0.8391701388888889,0.9993055555555556,0.9979166666666667,1.0,0.198781838316722,0.04401301218161678,0.3975705980066444,21.5,11.162500000000001,33.0,0.026123046875,0.019287109375
F5,Event1,51,0.9876867031877308,0.9343033406302954,1.0447103171785652,0.7451563652123459,0.7082264904489629,0.7812952804538745,0.7552539734754194,0.7180008032794898,0.7917035819318554,0.517124183006536,0.483406862745098,0.5501876361655772,0.5151851851851853,0.4727862200435731,0.5555569172113289,0.5166884531590414,0.4814583333333334,0.5530185185185186,0.8892374727668846,0.854106209150327,0.9205580065359475,0.45573578268516707,0.38407921308058107,0.5298693896163116,5.352941176470588,4.921568627450981,5.823529411764706,0.5926381907640793,0.9196101990940058
F5,Event3,51,1.254747385939889,1.1826857063580647,1.3305594413173032,0.7479292070686336,0.7116071918695637,0.7841187293390367,0.7604410204651874,0.7238146403498302,0.7974133578425728,0.686132897603486,0.6380277777777779,0.7341617647058821,0.5551198257080611,0.5167314814814814,0.5917004357298474,0.769640522875817,0.7242366557734206,0.813640522875817,0.9823529411764707,0.9721546840958606,0.991330065359477,0.20370008468503678,0.1340596703797798,0.2775112370529606,5.352941176470588,4.921568627450981,5.823529411764706,2.1986457964619688e-08,9.161814418234826e-09
F6,Event1,39,1.097673420672455,1.0026494557182233,1.1902399153307153,0.9026314041428466,0.8337407495940192,0.9682473849781558,0.9210948541114354,0.8506310454468604,0.9880331182247709,0.5655270655270656,0.5196428062678062,0.608690170940171,0.5028418803418803,0.4531898148148148,0.5548374287749288,0.5863247863247862,0.5428192663817663,0.6293949430199428,0.8978418803418805,0.8637738603988605,0.9294674145299145,0.35573728596984405,0.27488286906891557,0.44211815316466474,11.76923076923077,8.512820512820513,15.564102564102564,0.014532916693919632,0.07165332714794204
F6,Event3,39,1.3960601217346038,1.2635661651462655,1.5338772728585617,0.8839235886651917,0.8147020503255857,0.9503486640255352,0.898412419492416,0.8284330807293162,0.9656467508716068,0.6573076923076923,0.6056020299145297,0.7059476495726494,0.5622934472934473,0.5191517094017094,0.6074431980056979,0.7326068376068375,0.6788600427350425,0.7827831196581196,0.988917378917379,0.9784188034188034,0.9970940170940172,0.23579521253939853,0.16236476701592978,0.3180956640258964,11.76923076923077,8.512820512820513,15.564102564102564,3.123695933027193e-07,7.14963061909657e-06
