area,session,object,event,start_bin,stop_bin,center_time_s,acc,auc,n_pcs_used,p_auc,null_auc_mean,null_auc_ci95_high,q_auc
AIP,MonkeyA_Session01,Object1,Event1,43,48,0.71,0.3560000000000001,0.2733333333333333,8,0.8661338661338661,0.4996875,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,44,49,0.73,0.494,0.485,8,0.6993006993006993,0.5177708333333334,0.8125,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event1,45,50,0.75,0.302,0.2566666666666666,8,0.7562437562437563,0.5206666666666667,0.8333333333333334,0.9600399600399598
AIP,MonkeyA_Session01,Object1,Event3,0,5,-0.75,0.477,0.3666666666666666,8,0.7252747252747253,0.5275,0.8125,0.9572649572649573
AIP,MonkeyA_Session01,Object1,Event3,1,6,-0.73,0.482,0.4516666666666666,8,0.6403596403596403,0.5117708333333333,0.8125,0.9572649572649573
AIP,MonkeyA_Session01,Object1,Event3,2,7,-0.7100000000000001,0.531,0.5166666666666667,8,0.2977022977022977,0.527125,0.8333333333333334,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,3,8,-0.6900000000000001,0.523,0.5116666666666666,8,0.4105894105894105,0.4946145833333333,0.8125,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,4,9,-0.67,0.475,0.4683333333333334,8,0.3066933066933067,0.5048020833333333,0.8125,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,5,10,-0.65,0.466,0.455,8,0.7822177822177823,0.4931666666666666,0.7916666666666666,0.9572649572649573
AIP,MonkeyA_Session01,Object1,Event3,6,11,-0.63,0.477,0.5116666666666666,8,0.5514485514485514,0.487125,0.7916666666666666,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,7,12,-0.6100000000000001,0.6010000000000001,0.5716666666666667,8,0.3646353646353646,0.4950833333333332,0.7916666666666666,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,8,13,-0.5900000000000001,0.6779999999999999,0.7233333333333334,8,0.1108891108891109,0.5096041666666666,0.8125,0.9148351648351649
AIP,MonkeyA_Session01,Object1,Event3,9,14,-0.5700000000000001,0.442,0.4083333333333334,8,0.7142857142857143,0.51575,0.8125,0.9572649572649573
AIP,MonkeyA_Session01,Object1,Event3,10,15,-0.55,0.428,0.4333333333333333,8,0.5824175824175825,0.4991875,0.8125,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,11,16,-0.53,0.632,0.685,8,0.1298701298701298,0.4993229166666666,0.8125,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,12,17,-0.51,0.6260000000000001,0.655,8,0.2567432567432567,0.5078333333333334,0.8125,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,13,18,-0.49,0.601,0.625,8,0.5084915084915085,0.49321875,0.8125,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,14,19,-0.47,0.582,0.65,8,0.2337662337662337,0.4970416666666666,0.7921874999999995,0.923076923076923
AIP,MonkeyA_Session01,Object1,Event3,15,20,-0.45,0.429,0.4691666666666666,8,0.4015984015984016,0.5051875,0.8125,0.923076923076923
