area,event,n_units,n_onset_found,onset_ms_median,onset_ms_q25,onset_ms_q75,onset_ms_mean,onset_ms_std
AIP,Event1,12,0,,,,,
AIP,Event3,12,2,449.99999999999994,439.9999999999999,460.0,449.99999999999994,28.28427124746198
F5,Event1,51,1,9.999999999999899,9.999999999999899,9.999999999999899,9.999999999999899,
F5,Event3,51,18,340.00000000000006,330.0,419.9999999999999,345.55555555555554,104.61257500737281
F6,Event1,39,1,270.0,270.0,270.0,270.0,
F6,Event3,39,6,439.99999999999994,345.0,490.0,393.3333333333333,138.22686666009133
